word,x_values,y_values
23.838995,23.838995,-18.53062
9.826798,9.826798,-1.5796685
15.292168,15.292168,1.7292371
19.431341,19.431341,-11.393225
12.02475,12.02475,0.039549325
20.860418,20.860418,-22.487051
25.677141,25.677141,-20.81969
15.420824,15.420824,-7.5013433
23.794079,23.794079,-21.372469
-2.8964612,-2.8964612,23.631033
-1.8645499,-1.8645499,40.396698
14.0470705,14.0470705,-7.134351
21.486778,21.486778,-26.725494
19.122572,19.122572,-2.0537024
10.661685,10.661685,-8.127288
1.9841818,1.9841818,-7.6002536
19.738602,19.738602,-11.766223
8.914014,8.914014,7.4798
12.060288,12.060288,-0.2043124
27.19725,27.19725,-25.741882
20.796566,20.796566,-30.167067
9.010937,9.010937,16.527224
26.35943,26.35943,-15.38625
42.152115,42.152115,-30.91443
-0.18965147,-0.18965147,-13.461348
19.956812,19.956812,-20.297636
34.28246,34.28246,-20.621832
34.25453,34.25453,-18.947765
31.018457,31.018457,-16.0976
23.019094,23.019094,-21.011349
32.705246,32.705246,-40.517212
33.87417,33.87417,-14.857173
12.0627165,12.0627165,2.8031616
5.7674556,5.7674556,-24.381624
28.694338,28.694338,-24.827587
8.383109,8.383109,-15.0299425
35.10176,35.10176,-25.819729
33.612797,33.612797,-20.058352
31.34811,31.34811,-13.0392275
24.141653,24.141653,-14.334739
22.817373,22.817373,-7.5178256
28.513582,28.513582,-16.47013
20.134447,20.134447,-4.1807966
35.176373,35.176373,-29.641891
25.061325,25.061325,-9.203061
14.812851,14.812851,-6.101075
27.392288,27.392288,-27.790522
39.876354,39.876354,-39.8534
34.363922,34.363922,12.23596
20.990583,20.990583,-5.845055
21.216158,21.216158,-10.699511
24.273024,24.273024,-9.4138
30.493683,30.493683,-6.5676594
27.427061,27.427061,-11.497552
31.344614,31.344614,-26.863693
22.257923,22.257923,-22.845264
22.539738,22.539738,-21.58454
11.289129,11.289129,9.093896
29.539307,29.539307,-33.549446
26.521212,26.521212,-10.948081
26.43914,26.43914,-32.92151
32.936504,32.936504,-22.855644
21.539557,21.539557,-16.073013
0.77646375,0.77646375,51.146538
32.848343,32.848343,-27.88792
29.722075,29.722075,8.517562
27.313047,27.313047,69.091034
29.93273,29.93273,-24.360632
26.513023,26.513023,-14.1389065
25.990059,25.990059,-31.763441
10.92686,10.92686,14.404923
29.576525,29.576525,-24.897608
33.19174,33.19174,-17.265127
25.245756,25.245756,-5.916019
29.597816,29.597816,-26.648808
14.599831,14.599831,-27.723925
-1.2295917,-1.2295917,17.110567
26.673996,26.673996,-35.133507
28.22592,28.22592,-8.456709
25.96548,25.96548,-23.612835
9.557614,9.557614,10.488571
11.759946,11.759946,-12.234915
24.69465,24.69465,4.9629855
28.182775,28.182775,-9.352985
23.646545,23.646545,-14.214553
18.747433,18.747433,-19.642378
25.752855,25.752855,4.976138
23.404615,23.404615,-25.771433
23.49972,23.49972,-19.086325
28.525372,28.525372,-18.745993
13.80694,13.80694,-11.725572
34.48247,34.48247,-12.977093
28.470428,28.470428,-25.228754
24.817108,24.817108,-10.565566
25.67237,25.67237,-29.307997
33.14079,33.14079,-13.446561
33.754765,33.754765,-28.7237
19.01778,19.01778,-10.044667
21.73255,21.73255,-8.373416
26.329887,26.329887,8.248487
29.886055,29.886055,-7.2653418
28.292755,28.292755,-26.181202
29.558216,29.558216,-20.339508
30.126833,30.126833,-19.026466
24.107748,24.107748,-22.674452
29.869587,29.869587,-25.17492
25.582191,25.582191,-21.552757
3.0968964,3.0968964,15.144465
29.62993,29.62993,-21.321957
21.643002,21.643002,-5.27192
24.785019,24.785019,-2.397093
20.93687,20.93687,4.058497
34.6447,34.6447,-7.235948
5.174361,5.174361,41.90283
24.405275,24.405275,2.6741948
29.218033,29.218033,-17.837887
24.506208,24.506208,-29.219185
27.40069,27.40069,-8.521554
-0.103707574,-0.103707574,-3.5014763
20.665165,20.665165,-13.11504
24.314373,24.314373,-14.183675
21.645973,21.645973,-13.217496
25.918034,25.918034,-17.739107
0.4111658,0.4111658,11.910083
9.896637,9.896637,-5.9295893
27.402298,27.402298,-33.67718
16.033155,16.033155,6.080849
26.009867,26.009867,-3.4152167
23.133772,23.133772,-20.355461
20.185516,20.185516,7.055521
25.237732,25.237732,-30.166733
10.910228,10.910228,-4.853298
21.822433,21.822433,-10.899021
23.681807,23.681807,8.510349
27.760307,27.760307,5.797684
20.127083,20.127083,-12.290565
31.339525,31.339525,-9.923804
24.49832,24.49832,-12.894373
3.8338573,3.8338573,41.739986
27.432178,27.432178,-28.535269
23.754139,23.754139,-13.295937
28.23154,28.23154,-6.4826474
24.961706,24.961706,-16.959188
19.668467,19.668467,18.107906
27.907337,27.907337,-3.5860145
30.241,30.241,-17.956762
10.103567,10.103567,-3.135352
15.092632,15.092632,-5.6077847
2.4575188,2.4575188,41.34749
17.9284,17.9284,-7.5970054
25.674236,25.674236,-8.255057
27.97656,27.97656,-21.232828
9.753448,9.753448,2.34441
17.070974,17.070974,60.844944
21.759546,21.759546,-11.296098
7.4661274,7.4661274,63.153473
23.15765,23.15765,12.483282
21.32773,21.32773,53.16194
20.869009,20.869009,-9.702667
29.893646,29.893646,-20.343248
12.1602125,12.1602125,-16.37015
29.121342,29.121342,-27.320465
24.30008,24.30008,-4.4943256
22.183754,22.183754,6.566346
11.899054,11.899054,4.7972727
27.223972,27.223972,-16.318829
24.531538,24.531538,-21.67586
21.187986,21.187986,7.0095534
20.280409,20.280409,-10.952667
19.699556,19.699556,-6.944415
26.099415,26.099415,4.8435054
17.83068,17.83068,-21.418114
25.049707,25.049707,-13.445523
20.100216,20.100216,-11.705283
23.281406,23.281406,-15.473733
26.371328,26.371328,-27.061047
4.268718,4.268718,-12.900403
22.937014,22.937014,-18.642246
26.541513,26.541513,-3.429179
20.133501,20.133501,15.971647
18.057852,18.057852,-8.894745
21.261993,21.261993,-19.302568
26.272747,26.272747,-16.379198
24.086514,24.086514,12.838704
23.371857,23.371857,-14.95465
26.227808,26.227808,-15.303988
18.409643,18.409643,-10.438217
28.306639,28.306639,-9.5821295
25.577753,25.577753,-14.520353
10.988013,10.988013,0.25979653
22.706799,22.706799,11.157242
20.929808,20.929808,-1.7743455
26.630238,26.630238,4.1096826
22.82809,22.82809,-10.657778
17.20866,17.20866,6.639896
23.629883,23.629883,-16.55099
21.261631,21.261631,4.520966
25.709057,25.709057,2.202476
20.029905,20.029905,-15.496669
22.34577,22.34577,-2.836102
20.374657,20.374657,-12.346905
20.905725,20.905725,-3.2056663
6.0039115,6.0039115,-10.2276
20.59747,20.59747,5.1178613
12.845845,12.845845,-9.465843
19.125673,19.125673,-15.047128
27.6582,27.6582,-20.60979
12.998895,12.998895,48.156334
24.910437,24.910437,-13.307593
22.588785,22.588785,51.96017
24.314035,24.314035,3.6075716
23.568377,23.568377,-4.898628
20.050173,20.050173,-19.190866
27.483835,27.483835,-4.4076185
21.625378,21.625378,-14.901196
8.574472,8.574472,4.46217
15.350673,15.350673,-15.095125
21.077673,21.077673,-14.147404
22.51619,22.51619,-20.270567
20.71688,20.71688,-10.518362
19.322336,19.322336,-2.0372622
20.906158,20.906158,-12.993273
27.34953,27.34953,-19.221249
17.166862,17.166862,-12.605564
18.325966,18.325966,-16.684845
21.478273,21.478273,-5.037138
21.47505,21.47505,-22.979467
24.467747,24.467747,-13.179715
22.484905,22.484905,4.2659817
17.394081,17.394081,8.194172
21.223331,21.223331,-11.87776
22.91382,22.91382,-15.1945505
13.20504,13.20504,-4.0225058
28.525843,28.525843,-17.972914
18.774084,18.774084,-12.459399
25.191158,25.191158,-18.739166
17.554132,17.554132,-2.5369325
17.637016,17.637016,-5.284302
23.722015,23.722015,-15.89697
14.181806,14.181806,3.2606428
18.882158,18.882158,-21.240488
15.881632,15.881632,-13.900896
16.263462,16.263462,-2.9245503
19.302437,19.302437,7.0993404
23.274202,23.274202,-14.093018
19.270521,19.270521,-6.4206147
9.425345,9.425345,8.725032
19.75411,19.75411,-6.301365
21.256014,21.256014,-9.049188
18.19999,18.19999,35.96325
19.217873,19.217873,-18.891066
21.864937,21.864937,-4.9798956
9.437999,9.437999,2.9322903
19.734173,19.734173,-16.658474
20.834852,20.834852,-13.1380825
18.666826,18.666826,4.276629
18.319002,18.319002,-11.588847
22.281204,22.281204,-7.087888
21.725826,21.725826,43.314857
17.664516,17.664516,4.4792953
24.576967,24.576967,-11.939677
15.598407,15.598407,-1.7282139
21.173042,21.173042,22.927715
16.389456,16.389456,22.44375
21.272053,21.272053,-15.438631
23.607634,23.607634,-0.95454746
20.118778,20.118778,-9.096063
21.948841,21.948841,-14.764976
20.454344,20.454344,-21.644783
11.738901,11.738901,1.6097971
19.1079,19.1079,-7.9816804
19.853373,19.853373,-11.907469
17.871979,17.871979,18.029549
14.997237,14.997237,3.1076658
22.190979,22.190979,-16.21098
17.802807,17.802807,-4.142253
21.326284,21.326284,14.004631
16.484467,16.484467,-9.478915
20.089827,20.089827,-15.808436
14.165534,14.165534,-1.8785114
25.379972,25.379972,-15.039902
17.404573,17.404573,-15.766095
18.113407,18.113407,-10.576326
18.736752,18.736752,4.256354
16.906385,16.906385,-1.5085654
13.383849,13.383849,-5.243002
23.526302,23.526302,-13.101617
18.75211,18.75211,-7.1237044
11.913476,11.913476,2.661732
22.38986,22.38986,-20.627848
20.331114,20.331114,-8.219418
1.7643174,1.7643174,32.180824
5.3404784,5.3404784,36.20563
18.082079,18.082079,-10.876711
18.28027,18.28027,-6.4522967
18.104261,18.104261,-10.957804
15.632406,15.632406,-9.041345
18.196016,18.196016,-11.7346945
21.843637,21.843637,-10.979005
17.945007,17.945007,-6.7330832
17.504602,17.504602,11.573692
-0.07115277,-0.07115277,-1.5269225
20.259811,20.259811,7.462449
16.245285,16.245285,-6.638273
19.860682,19.860682,-10.151749
16.842024,16.842024,-10.443286
22.695953,22.695953,-12.4303
18.610985,18.610985,-0.7470985
14.784311,14.784311,-4.197192
19.568415,19.568415,20.32182
2.266772,2.266772,-1.9210311
22.278591,22.278591,-16.096184
19.56386,19.56386,15.655627
23.15864,23.15864,-0.88832784
18.294214,18.294214,-11.791102
21.490572,21.490572,-1.6904838
24.565628,24.565628,-10.468243
24.298662,24.298662,-15.597033
4.8890295,4.8890295,7.002465
16.767056,16.767056,-9.6012945
18.943213,18.943213,4.379302
18.757902,18.757902,10.922872
15.970511,15.970511,11.624605
6.624681,6.624681,-5.1527333
7.2680984,7.2680984,4.377117
19.764702,19.764702,7.1531367
17.759958,17.759958,-5.171172
14.580818,14.580818,8.347569
21.64179,21.64179,-13.216194
4.1971226,4.1971226,-9.497453
11.780124,11.780124,7.824599
15.634368,15.634368,-5.0931973
15.726376,15.726376,-1.0550551
3.4272985,3.4272985,0.8752497
12.783485,12.783485,3.6835718
18.74821,18.74821,-8.998327
13.222908,13.222908,13.272364
19.897673,19.897673,8.1368065
11.744248,11.744248,-7.8810873
25.18661,25.18661,-13.208411
17.041079,17.041079,-6.2724104
18.1398,18.1398,9.6686735
11.5641365,11.5641365,47.358894
16.416925,16.416925,-7.0009894
18.38441,18.38441,4.524724
20.555525,20.555525,11.623739
21.984907,21.984907,-15.4233885
4.883319,4.883319,-5.9285975
23.708553,23.708553,16.870914
24.215807,24.215807,-19.647177
11.815347,11.815347,1.4482956
19.594786,19.594786,-1.4427633
14.763633,14.763633,-12.258386
16.519812,16.519812,3.9922392
3.6032598,3.6032598,38.29445
12.158722,12.158722,9.090984
19.025444,19.025444,-1.2999954
19.729279,19.729279,-12.049412
20.13476,20.13476,-13.42243
14.95253,14.95253,-4.180352
4.750473,4.750473,-6.0314198
25.385801,25.385801,-18.435186
21.290094,21.290094,-14.902672
19.474731,19.474731,-7.654175
14.972192,14.972192,-5.0572276
12.158151,12.158151,11.937745
19.501642,19.501642,-13.118279
18.110106,18.110106,0.36605293
19.628098,19.628098,-2.3770254
20.265102,20.265102,-15.326177
16.492208,16.492208,-13.812686
17.97693,17.97693,-2.8073125
19.999048,19.999048,-7.881836
21.502436,21.502436,-13.30209
14.248954,14.248954,14.476838
18.737347,18.737347,9.107466
16.123552,16.123552,27.046808
22.219637,22.219637,-9.850809
12.797142,12.797142,-7.6333084
13.517496,13.517496,15.831721
18.99808,18.99808,-6.161993
16.877272,16.877272,-11.610152
19.674711,19.674711,-8.5364485
11.544761,11.544761,0.8849616
6.598845,6.598845,3.5047505
12.850097,12.850097,-8.28936
20.053816,20.053816,-0.26134104
14.646484,14.646484,1.6266272
18.38526,18.38526,-6.3311243
23.181765,23.181765,-12.222639
12.108489,12.108489,-4.771326
18.053474,18.053474,-6.5138836
14.043079,14.043079,-1.9868621
21.215176,21.215176,7.934655
22.085262,22.085262,-16.1442
21.40494,21.40494,-13.36319
18.780388,18.780388,-6.8024535
14.664678,14.664678,36.530544
18.005682,18.005682,-10.429637
17.681753,17.681753,-3.3325825
15.49728,15.49728,-6.144567
26.234152,26.234152,-9.328812
16.694223,16.694223,-8.534587
16.457304,16.457304,1.2517563
13.558925,13.558925,9.27917
17.415432,17.415432,-9.934693
15.698143,15.698143,-6.951723
15.0866375,15.0866375,0.49788466
14.197941,14.197941,9.957353
22.194832,22.194832,-11.100345
18.675447,18.675447,-11.713453
17.953106,17.953106,-5.841185
14.780382,14.780382,-5.3488464
22.707308,22.707308,-12.4490385
7.49016,7.49016,17.354565
19.428286,19.428286,-12.083894
14.711912,14.711912,7.5451465
13.572178,13.572178,1.5897588
16.119669,16.119669,-4.182663
18.211887,18.211887,-14.712235
19.285812,19.285812,-12.088091
21.875858,21.875858,-15.170635
14.454306,14.454306,-3.4768822
8.218531,8.218531,6.079284
12.061714,12.061714,8.950912
4.320113,4.320113,15.198103
15.009374,15.009374,6.780503
0.16596624,0.16596624,6.980624
16.008186,16.008186,-3.2247305
18.676512,18.676512,5.02552
17.97736,17.97736,-9.917136
21.251524,21.251524,-10.195653
8.545084,8.545084,12.3650675
5.319819,5.319819,30.833105
22.78721,22.78721,-11.2532215
12.377275,12.377275,-0.39046335
15.631791,15.631791,6.3926983
14.329294,14.329294,-1.5560145
15.903851,15.903851,-4.4600983
14.101254,14.101254,-11.432119
15.310192,15.310192,-3.9277017
20.990664,20.990664,-14.4913
18.417542,18.417542,-10.575856
14.250197,14.250197,1.5824741
17.840353,17.840353,-11.681932
14.18942,14.18942,-5.3326893
14.18783,14.18783,0.41243267
15.2919445,15.2919445,0.3052595
9.830101,9.830101,-6.0676827
15.572838,15.572838,-8.265988
5.071397,5.071397,6.921515
20.308882,20.308882,-12.3261
15.922859,15.922859,-8.143965
17.891846,17.891846,-10.302283
16.242363,16.242363,-5.050607
16.470427,16.470427,-5.8532724
13.068581,13.068581,-2.24855
13.761042,13.761042,-5.3785534
13.719408,13.719408,1.353464
13.808114,13.808114,-13.583334
16.092691,16.092691,-1.378645
19.137535,19.137535,-1.5415167
21.143492,21.143492,0.038139712
17.277216,17.277216,-6.7209826
12.339061,12.339061,-5.7089458
10.947491,10.947491,-0.8250101
14.633135,14.633135,0.74444574
20.829369,20.829369,-4.4745603
24.794544,24.794544,39.024628
17.929161,17.929161,-4.514721
15.815833,15.815833,-8.040949
13.205417,13.205417,-3.459379
17.836676,17.836676,-3.6543586
15.453739,15.453739,19.329666
19.433714,19.433714,-5.3904586
15.109833,15.109833,-3.1138203
15.905284,15.905284,1.440367
15.2114315,15.2114315,-3.967273
17.383434,17.383434,-7.9181843
8.731875,8.731875,44.150623
15.576524,15.576524,-9.481753
16.33755,16.33755,4.001265
12.964646,12.964646,-4.859123
11.808688,11.808688,-6.131526
9.541141,9.541141,8.419571
13.53,13.53,-5.7480626
11.768405,11.768405,-6.8489475
15.949314,15.949314,3.4615312
15.147403,15.147403,-11.282905
18.50325,18.50325,-5.464286
15.672409,15.672409,-6.132244
14.874096,14.874096,42.373596
16.556261,16.556261,-9.848984
16.195044,16.195044,-6.1826725
12.786279,12.786279,-4.024747
14.936479,14.936479,5.4259124
