word,x_values,y_values
31.623785,31.623785,-14.20952
15.570026,15.570026,2.4793627
14.162761,14.162761,0.9007187
26.592936,26.592936,-8.546437
15.476457,15.476457,-0.26789406
34.997517,34.997517,-22.055737
27.653505,27.653505,-17.044083
23.629574,23.629574,-6.5544415
20.104937,20.104937,-13.840329
20.057627,20.057627,-7.7011113
-5.1989036,-5.1989036,20.365185
-21.521526,-21.521526,28.513594
9.743667,9.743667,-9.102531
3.610162,3.610162,-10.1501045
28.784466,28.784466,-20.375362
13.785186,13.785186,-6.7593985
24.075045,24.075045,-6.87872
11.161112,11.161112,-5.51956
31.936804,31.936804,-16.508814
24.955807,24.955807,-27.515606
18.78229,18.78229,0.69431204
-1.2091857,-1.2091857,12.338977
23.398169,23.398169,-13.17307
23.960684,23.960684,-19.601269
34.93327,34.93327,-12.758991
20.081844,20.081844,-3.066279
7.9900494,7.9900494,-13.586155
19.170813,19.170813,-17.533512
25.657131,25.657131,-23.40008
45.12177,45.12177,-12.358117
31.3292,31.3292,0.7407547
29.325209,29.325209,-13.071029
26.062632,26.062632,-24.558392
39.832897,39.832897,-20.868837
6.701491,6.701491,-32.970238
37.937172,37.937172,-9.890225
6.309338,6.309338,-5.092257
21.634623,21.634623,-17.632685
23.841629,23.841629,-9.745835
17.090334,17.090334,-12.840101
17.044825,17.044825,-3.4148362
48.35486,48.35486,-17.845196
6.930373,6.930373,-7.149682
23.604485,23.604485,-15.50485
-9.011076,-9.011076,46.079857
24.474985,24.474985,-1.6000096
32.26983,32.26983,-22.481771
28.652567,28.652567,-8.529143
13.095067,13.095067,-15.319019
26.268278,26.268278,-4.730916
23.430258,23.430258,-16.306156
11.296393,11.296393,-3.2687497
17.538431,17.538431,-1.9209425
51.934494,51.934494,-13.749119
44.88381,44.88381,-21.300781
15.958442,15.958442,-14.985669
37.866653,37.866653,-5.867702
24.652964,24.652964,-14.955126
23.717281,23.717281,-10.286214
45.12924,45.12924,-17.21872
21.166077,21.166077,-19.66675
22.540874,22.540874,6.877187
20.896248,20.896248,-2.718633
26.042376,26.042376,-15.711542
22.309887,22.309887,10.0227585
22.30308,22.30308,-7.30713
22.702864,22.702864,-10.69337
13.071826,13.071826,-4.885985
-5.5915318,-5.5915318,16.097769
10.522008,10.522008,-4.4394813
32.593903,32.593903,-14.996224
26.752432,26.752432,-14.552913
29.988382,29.988382,-8.522936
25.63692,25.63692,-12.668987
40.688793,40.688793,-16.686409
38.775158,38.775158,-11.213516
25.636091,25.636091,-10.963153
23.003338,23.003338,-14.138361
-19.592592,-19.592592,31.047955
34.11455,34.11455,-18.722645
12.650704,12.650704,5.164461
25.9355,25.9355,-11.315762
8.347044,8.347044,5.4303255
23.965656,23.965656,-11.908451
23.876503,23.876503,-4.242038
23.461031,23.461031,-13.9955
33.783955,33.783955,-10.4581
27.177069,27.177069,-12.081215
35.007607,35.007607,-5.189858
12.118891,12.118891,-23.384518
23.69346,23.69346,-9.7607
16.248034,16.248034,-2.0695229
23.759113,23.759113,4.847729
17.875664,17.875664,3.3956778
22.686203,22.686203,10.156683
12.952324,12.952324,-10.761368
27.16906,27.16906,-7.565913
32.687977,32.687977,7.290275
20.729296,20.729296,-4.919498
38.011833,38.011833,-12.127709
-2.3843749,-2.3843749,-4.7939067
6.101424,6.101424,6.014941
16.668137,16.668137,-12.870466
16.932976,16.932976,-18.987453
23.399427,23.399427,5.5494647
30.001646,30.001646,0.77139443
27.082644,27.082644,-10.429741
27.231733,27.231733,-3.6411042
25.557947,25.557947,-1.9647152
17.689,17.689,-4.8685217
34.92451,34.92451,-6.3741045
24.490452,24.490452,-3.6834972
32.756187,32.756187,-6.036929
26.692266,26.692266,-8.01747
13.007569,13.007569,-10.743049
25.698477,25.698477,0.33209231
0.91049045,0.91049045,-16.75651
32.446365,32.446365,-12.812631
27.644829,27.644829,-2.6516955
19.613464,19.613464,-9.743039
11.06894,11.06894,3.0341926
8.767217,8.767217,-4.573603
-0.91519696,-0.91519696,6.4428277
16.3017,16.3017,-12.506545
24.430597,24.430597,-12.991451
30.376534,30.376534,-12.2140465
15.86169,15.86169,-3.5002213
16.932684,16.932684,-11.027713
23.689724,23.689724,-11.559189
21.327494,21.327494,-6.6868434
-1.7783194,-1.7783194,-4.5477266
25.94531,25.94531,-0.8608244
25.33563,25.33563,4.7446976
26.20796,26.20796,-11.747527
30.384962,30.384962,-8.990354
-15.869136,-15.869136,55.790844
11.575768,11.575768,-10.485685
-2.49147,-2.49147,14.195736
18.046667,18.046667,-3.917238
29.9954,29.9954,-7.6959906
19.286636,19.286636,-2.7675736
-20.003283,-20.003283,30.61407
28.898344,28.898344,3.396406
2.8950071,2.8950071,67.370514
23.68656,23.68656,-8.68893
-2.009797,-2.009797,72.433395
34.787888,34.787888,-23.691776
8.240416,8.240416,-0.33300307
26.421328,26.421328,1.2290606
1.2963641,1.2963641,-0.22655426
21.945696,21.945696,-7.9531465
20.123392,20.123392,-16.534342
24.560904,24.560904,-1.4289374
32.080524,32.080524,-10.163179
28.632132,28.632132,3.8321013
29.552952,29.552952,-3.6575973
30.294939,30.294939,-7.0614753
-19.436895,-19.436895,34.09695
20.968788,20.968788,6.064589
15.066042,15.066042,-2.9824393
6.194012,6.194012,4.35081
37.77636,37.77636,-2.8906448
23.827982,23.827982,-2.4142296
17.051277,17.051277,8.212591
10.35421,10.35421,-8.4177265
11.235611,11.235611,-11.558486
22.755548,22.755548,-6.2404633
20.486158,20.486158,1.8872274
29.696575,29.696575,2.7170758
-18.736301,-18.736301,35.2184
20.734428,20.734428,-6.1636753
19.221046,19.221046,-5.7984276
30.368168,30.368168,-5.5303197
19.1769,19.1769,-3.7319121
-3.7574596,-3.7574596,43.49233
26.412521,26.412521,-7.598563
18.264965,18.264965,-3.8156188
33.434948,33.434948,-11.190711
27.751818,27.751818,7.410387
24.96352,24.96352,-14.753896
17.80505,17.80505,-5.1266913
19.82867,19.82867,-2.48215
17.26054,17.26054,-8.898717
27.410086,27.410086,-6.8093085
22.780296,22.780296,-11.125097
35.862316,35.862316,-14.467932
24.239084,24.239084,-7.6380367
30.22876,30.22876,-15.236378
24.563358,24.563358,-11.198626
19.899288,19.899288,1.6938632
18.359966,18.359966,1.1552464
26.349909,26.349909,3.736726
27.585981,27.585981,-0.14223449
15.593832,15.593832,-1.7543337
36.708336,36.708336,-9.967679
25.072092,25.072092,1.2977866
8.030284,8.030284,9.695647
13.091584,13.091584,4.4088564
24.370964,24.370964,8.911301
25.993038,25.993038,-16.794472
15.54418,15.54418,-2.9270616
21.087477,21.087477,-8.168133
19.357424,19.357424,-12.1842985
28.01195,28.01195,-3.1270027
18.872122,18.872122,-9.196719
0.811948,0.811948,14.116792
5.9277554,5.9277554,9.101612
4.660441,4.660441,15.977971
25.160301,25.160301,-8.972045
11.173371,11.173371,-4.0969105
12.969827,12.969827,-14.343077
7.7781925,7.7781925,-6.4444027
2.0718393,2.0718393,-13.642518
30.612669,30.612669,-5.9609537
23.433834,23.433834,-5.081174
17.037346,17.037346,2.061703
-13.343257,-13.343257,51.304943
35.777378,35.777378,-18.693531
22.97846,22.97846,-10.076434
19.934359,19.934359,-7.083274
28.945484,28.945484,-2.1552587
21.522665,21.522665,1.8706795
16.199303,16.199303,-11.240948
37.702503,37.702503,-3.1229174
24.765049,24.765049,-4.157317
19.62984,19.62984,-1.598255
2.5886207,2.5886207,5.582894
-20.215485,-20.215485,36.449112
24.574373,24.574373,-6.6372495
18.098104,18.098104,8.977061
30.61063,30.61063,-6.7493696
18.688469,18.688469,1.9822813
18.051498,18.051498,4.087726
-2.6086385,-2.6086385,-2.5492268
6.961395,6.961395,-5.915808
4.1379848,4.1379848,4.129627
15.063651,15.063651,-6.531014
17.89023,17.89023,-6.22472
4.786802,4.786802,-1.2234678
14.837918,14.837918,-3.8157783
22.126,22.126,6.511158
28.270912,28.270912,-13.472496
28.150532,28.150532,-17.59103
26.859774,26.859774,-10.946964
29.434977,29.434977,-1.7180244
30.400066,30.400066,-6.5167584
11.747286,11.747286,-8.411601
24.613365,24.613365,4.09127
13.661423,13.661423,16.257973
30.017174,30.017174,-11.146985
18.158432,18.158432,-6.236997
25.08229,25.08229,-6.3390965
23.978136,23.978136,7.2040625
16.244734,16.244734,-10.381845
21.996914,21.996914,-0.5080791
11.331855,11.331855,7.440511
22.619774,22.619774,-3.9814236
12.914383,12.914383,-7.7344537
16.735065,16.735065,-11.502014
34.594376,34.594376,-16.482632
29.153057,29.153057,5.7990084
1.7266535,1.7266535,-5.7135153
-3.8231785,-3.8231785,-2.3135092
-8.426046,-8.426046,32.181725
27.597067,27.597067,-7.106193
34.861946,34.861946,-1.1159271
